Timestamp: 2024-03-21T07:22:13.839Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67249.78, Profitability: 6.414529217199559, Maker Latency: 82ms, Taker Latency: 187ms
Timestamp: 2024-03-21T07:22:14.181Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67247.66, Profitability: 6.414295479603087, Maker Latency: 82ms, Taker Latency: 129ms
Timestamp: 2024-03-21T07:22:14.383Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67247.66, Profitability: 6.414295479603087, Maker Latency: 121ms, Taker Latency: 129ms
Timestamp: 2024-03-21T07:22:14.509Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67246.12, Profitability: 6.414125689084894, Maker Latency: 121ms, Taker Latency: 111ms
Timestamp: 2024-03-21T07:22:14.719Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67246.12, Profitability: 6.414125689084894, Maker Latency: 225ms, Taker Latency: 111ms
Timestamp: 2024-03-21T07:22:14.831Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67247.96, Profitability: 6.41432855567806, Maker Latency: 225ms, Taker Latency: 203ms
Timestamp: 2024-03-21T07:22:15.046Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67247.96, Profitability: 6.41432855567806, Maker Latency: 119ms, Taker Latency: 203ms
Timestamp: 2024-03-21T07:22:15.377Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67247.96, Profitability: 6.41432855567806, Maker Latency: 117ms, Taker Latency: 203ms
Timestamp: 2024-03-21T07:22:15.708Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67247.96, Profitability: 6.41432855567806, Maker Latency: 141ms, Taker Latency: 203ms
Timestamp: 2024-03-21T07:22:16.955Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67246.47, Profitability: 6.4141642778390295, Maker Latency: 141ms, Taker Latency: 73ms
Timestamp: 2024-03-21T07:22:17.262Z, Maker Highest Bid: 9070, Taker Lowest Ask: 67246.47, Profitability: 6.4141642778390295, Maker Latency: 141ms, Taker Latency: 154ms
Timestamp: 2024-03-21T07:22:17.381Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67246.47, Profitability: 6.4133469297762105, Maker Latency: 182ms, Taker Latency: 154ms
Timestamp: 2024-03-21T07:22:17.712Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67246.47, Profitability: 6.4133469297762105, Maker Latency: 354ms, Taker Latency: 154ms
Timestamp: 2024-03-21T07:22:19.252Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.41, Profitability: 6.4135607981479446, Maker Latency: 354ms, Taker Latency: 316ms
Timestamp: 2024-03-21T07:22:20.028Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.41, Profitability: 6.4135607981479446, Maker Latency: 190ms, Taker Latency: 316ms
Timestamp: 2024-03-21T07:22:20.359Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.41, Profitability: 6.4135607981479446, Maker Latency: 78ms, Taker Latency: 316ms
Timestamp: 2024-03-21T07:22:20.581Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67246.83, Profitability: 6.413386616690553, Maker Latency: 78ms, Taker Latency: 61ms
Timestamp: 2024-03-21T07:22:20.691Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67246.83, Profitability: 6.413386616690553, Maker Latency: 64ms, Taker Latency: 61ms
Timestamp: 2024-03-21T07:22:20.927Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67245.23, Profitability: 6.4132102304045855, Maker Latency: 64ms, Taker Latency: 331ms
Timestamp: 2024-03-21T07:22:21.034Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67245.23, Profitability: 6.4132102304045855, Maker Latency: 373ms, Taker Latency: 331ms
Timestamp: 2024-03-21T07:22:21.241Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.56, Profitability: 6.413577334362253, Maker Latency: 373ms, Taker Latency: 80ms
Timestamp: 2024-03-21T07:22:21.354Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.56, Profitability: 6.413577334362253, Maker Latency: 69ms, Taker Latency: 80ms
Timestamp: 2024-03-21T07:22:21.903Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.56, Profitability: 6.413577334362253, Maker Latency: 69ms, Taker Latency: 68ms
Timestamp: 2024-03-21T07:22:22.231Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67250.32, Profitability: 6.413771359276817, Maker Latency: 69ms, Taker Latency: 120ms
Timestamp: 2024-03-21T07:22:22.351Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67250.32, Profitability: 6.413771359276817, Maker Latency: 61ms, Taker Latency: 120ms
Timestamp: 2024-03-21T07:22:22.892Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.33, Profitability: 6.413551978833646, Maker Latency: 61ms, Taker Latency: 159ms
Timestamp: 2024-03-21T07:22:23.222Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.33, Profitability: 6.413551978833646, Maker Latency: 61ms, Taker Latency: 347ms
Timestamp: 2024-03-21T07:22:23.670Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.33, Profitability: 6.413551978833646, Maker Latency: 288ms, Taker Latency: 347ms
Timestamp: 2024-03-21T07:22:23.885Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.33, Profitability: 6.413551978833646, Maker Latency: 288ms, Taker Latency: 252ms
Timestamp: 2024-03-21T07:22:24.657Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.33, Profitability: 6.413551978833646, Maker Latency: 288ms, Taker Latency: 288ms
Timestamp: 2024-03-21T07:22:24.671Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.33, Profitability: 6.413551978833646, Maker Latency: 375ms, Taker Latency: 288ms
Timestamp: 2024-03-21T07:22:25.464Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.33, Profitability: 6.413551978833646, Maker Latency: 94ms, Taker Latency: 288ms
Timestamp: 2024-03-21T07:22:25.792Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.33, Profitability: 6.413551978833646, Maker Latency: 82ms, Taker Latency: 288ms
Timestamp: 2024-03-21T07:22:26.313Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67248.33, Profitability: 6.413551978833646, Maker Latency: 82ms, Taker Latency: 40ms
